word,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP
unmethodical,12,4,1,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.88,4.94,4.58,2.97,5.25,2.69,3.49,3.37,2.46,3.59,-99,-99,-99
unproductive,12,4,1,2.277722,-99,-99,0.27451,0,1,-99,-99,-99,-99,-99,-99,-99,1.58,5.58,5.78,5.79,6.91,4.86,3.4,1.49,1.49,2.44,-99,-99,-99
unromantic,10,4,1,0.33966,-99,-99,0.470588,0,1,-99,-99,-99,-99,-99,-99,-99,1.94,4.98,5.29,4.39,7,3.28,4.87,1.88,1.55,2.98,-99,-99,-99
unselfish,9,3,1,0.799201,1.334986,-99,0.862745,0,1,-99,-99,-99,-99,-99,-99,-99,5.85,2.91,5.67,3.45,6.79,3.38,3.76,6.23,5.92,5.18,-99,-99,-99
unsophisticated,15,6,1,1.178821,-99,-99,0.294118,0,1,-99,-99,-99,-99,-99,-99,-99,1.75,4.82,5.71,4.6,7,3.5,3.18,1.87,1.4,3.77,-99,-99,-99
untidy,6,3,1,4.035964,-99,2.08859,0.411765,0,1,-99,-99,-99,-99,-99,-99,-99,2.09,5.2,6.15,3.91,7,2.91,2.63,1.9,1.3,2.79,-99,-99,-99
urine,5,2,1,8.051948,3.799574,1.90426,6.509804,1,0,2.74,3.42,6.4,6.11,6.77,3,2.14,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.833333,0.030303,2.84378
veneer,6,2,1,1.848152,-99,-99,0.882353,1,0,3.34,3.51,3.87,4.7,4.22,2.51,2.45,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.875,0,3.476697
venturesome,11,3,1,0.07992,-99,-99,0.019608,0,1,-99,-99,-99,-99,-99,-99,-99,4.64,3.36,4.79,3.47,6.25,1.88,3.23,4.96,5.66,3.84,-99,-99,-99
windmill,8,2,1,1.898102,-99,1.50552,1.27451,1,0,4.14,2.28,6.23,6.09,6.47,1.71,1.66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.740741,0.035714,2.448374
wordy,5,2,1,0.37962,-99,-99,0.156863,0,1,-99,-99,-99,-99,-99,-99,-99,3.14,3.55,3.3,5.05,5.89,2.27,2.75,2.62,2.15,3.77,-99,-99,-99
wretch,6,1,1,0.629371,-99,15.4461,1.627451,1,0,2.44,4.32,4.32,4.2,5.17,2.41,3.41,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.806452,0.029412,2.754404
zebra,5,2,1,2.237762,1.437677,-99,2.509804,1,0,4.11,2.52,6.44,5.97,6.5,2.02,1.64,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.735294,0.043478,2.34058
adaptable,9,4,2,2.367632,-99,-99,0.333333,0,1,-99,-99,-99,-99,-99,-99,-99,5.81,2.71,4.8,5.08,6.56,3.64,2.71,5.63,6.01,5.93,-99,-99,-99
alimony,7,4,2,0.28971,1.882672,-99,2.588235,1,0,2.88,4.52,2.6,4.24,3.96,2.88,3.64,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.75,0.074074,2.120593
